Age,Income,Credit Score,Loan Amount Requested,Loan Approved
59,150000,759,342489,No
49,150000,741,50291,Yes
35,150000,652,93054,Yes
63,150000,609,196451,No
28,150000,670,177666,Yes
41,150000,850,240790,Yes
59,150000,597,50000,No
39,150000,639,50000,Yes
43,150000,714,83751,Yes
31,150000,683,121037,Yes
31,150000,678,72639,No
44,150000,811,50000,Yes
56,150000,639,98513,No
60,150000,689,65085,No
44,150000,702,64619,Yes
23,150000,642,50000,Yes
42,150000,604,118006,No
22,150000,706,79788,Yes
44,150000,799,214722,Yes
64,150000,714,69933,Yes
50,150000,695,102724,Yes
58,150000,695,120462,No
22,150000,674,50000,Yes
41,150000,761,351519,Yes
53,150000,660,56473,Yes
32,150000,609,98394,Yes
42,150000,595,107404,Yes
64,150000,695,50000,Yes
45,150000,754,221502,No
47,150000,704,85783,Yes
62,150000,671,64339,Yes
48,150000,718,79468,No
36,150000,701,115676,Yes
35,150000,740,73606,No
64,150000,770,124139,Yes
23,150000,633,50000,Yes
57,150000,550,50000,Yes
27,150000,669,50000,Yes
41,150000,629,242366,No
29,150000,740,240481,Yes
59,150000,647,106507,Yes
38,150000,577,50000,Yes
24,150000,656,306793,Yes
45,150000,600,50886,No
34,150000,785,64349,Yes
29,150000,718,80476,Yes
46,150000,729,95885,Yes
22,150000,722,107611,Yes
40,150000,740,110236,No
48,150000,758,67056,Yes
27,150000,658,109192,No
64,150000,605,65282,Yes
28,150000,639,103526,Yes
55,150000,687,98555,No
34,150000,536,115579,Yes
37,150000,759,107235,Yes
56,150000,576,56080,No
60,150000,726,96300,Yes
24,150000,680,108233,No
22,150000,707,50000,Yes
26,150000,662,62042,No
62,226511,703,105332,Yes
24,150000,662,203939,Yes
49,150000,657,119963,No
38,150000,636,211806,Yes
46,150000,782,57583,No
64,150000,712,84975,Yes
54,150000,703,118592,Yes
30,150000,637,50000,Yes
56,150000,676,181042,Yes
34,150000,631,50000,Yes
51,150000,661,133008,No
35,150000,617,110426,No
28,150000,785,50000,No
34,197199,645,50000,Yes
43,150000,637,172731,Yes
60,150000,610,151575,Yes
41,150000,644,50000,Yes
36,150000,660,50000,Yes
38,150000,687,99465,Yes
44,150000,651,72573,Yes
46,150000,594,137673,Yes
45,150000,599,97514,Yes
61,150000,731,189060,Yes
49,150000,683,130881,Yes
35,150000,729,112698,Yes
21,150000,737,59203,No
45,150000,699,56659,Yes
27,150000,616,70894,Yes
29,150000,701,220701,Yes
44,150000,774,57310,Yes
21,150000,663,85504,No
64,150000,710,50000,No
28,150000,689,109698,Yes
44,150000,772,283316,Yes
31,150000,649,50000,Yes
37,150000,759,491229,No
28,150000,667,81580,No
55,150000,648,50000,Yes
55,150000,697,58028,No
53,150000,711,162472,Yes
25,150000,805,242702,Yes
62,150000,709,112517,No
59,150000,702,187317,No
61,150000,786,50000,Yes
48,150000,726,50000,Yes
27,150000,651,50000,Yes
29,150000,771,50867,Yes
28,150000,646,115515,Yes
32,150000,651,83083,Yes
54,150000,639,123095,No
53,150000,634,50000,Yes
43,150000,710,50000,Yes
44,150000,675,82683,Yes
57,150000,481,50940,Yes
55,150000,674,159709,No
64,150000,659,50189,Yes
60,150000,744,54326,Yes
42,150000,656,94024,Yes
47,150000,842,57897,Yes
55,150000,774,50000,Yes
21,150000,667,50000,Yes
55,150000,759,100978,Yes
57,150000,722,50000,Yes
34,150000,704,169109,Yes
23,150000,738,50000,Yes
21,150000,693,105845,Yes
25,150000,704,50099,Yes
46,150000,739,50000,Yes
34,150000,813,84767,No
59,150000,705,137458,Yes
47,150000,663,63043,Yes
29,150000,568,70313,Yes
35,150000,808,118711,Yes
35,150000,674,121093,No
46,150000,722,71461,Yes
62,150000,804,56045,Yes
33,150000,704,76849,Yes
52,150000,678,65216,Yes
59,150000,775,88237,Yes
52,150000,718,50000,No
24,150603,725,86363,Yes
50,150000,599,50000,Yes
57,150000,762,125936,No
43,150000,713,50000,Yes
59,150000,608,50000,Yes
35,150000,719,95534,Yes
63,150000,566,73757,No
49,150000,831,286642,Yes
56,150000,624,50000,Yes
33,150000,787,78113,Yes
52,150000,641,144032,Yes
27,150000,724,51690,Yes
42,150000,635,50000,Yes
48,150000,750,50000,Yes
22,150000,676,50000,Yes
62,150000,718,164361,Yes
26,150000,691,60008,Yes
48,150000,608,55892,Yes
48,150000,720,50000,Yes
64,150000,660,50000,No
64,150000,753,176175,Yes
40,150000,676,87716,Yes
50,150000,685,147252,Yes
31,150000,791,136488,No
48,150000,833,50000,Yes
45,150000,737,314239,Yes
59,150000,673,235588,Yes
53,150000,668,52143,No
21,150000,641,50000,Yes
47,150000,652,59047,Yes
33,150000,674,84371,Yes
61,150000,808,52019,Yes
23,150000,678,64029,No
59,150000,616,50000,No
26,150000,692,127132,Yes
28,150000,701,75977,Yes
47,150000,692,129432,No
29,150000,738,152257,No
57,150000,694,50000,Yes
53,150000,736,50000,No
62,150000,643,50291,No
64,150000,797,342088,No
44,150000,705,79970,Yes
35,150000,714,119078,Yes
52,150000,643,50000,No
52,150000,718,79692,Yes
44,150000,729,131528,No
61,150000,620,122661,Yes
32,150000,590,106302,Yes
59,150000,708,73703,Yes
22,150000,661,75882,Yes
23,150000,706,50000,No
57,150000,613,50000,No
37,150000,596,84000,No
22,150000,702,50000,Yes
22,150000,669,110559,Yes
48,150000,563,96768,Yes
43,150000,771,166113,Yes
57,150000,612,129956,Yes
